PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40735742,"Cross-neutralization of human sera with diverse SARS-CoV-2 omicron exposure histories, 2022-2024: Evidence of immune heterogeneity.",2025,"Fu, Jianguang; Deng, Fei; Fan, Huan; Dong, Chen; Tian, Hua; Li, Chuchu; Zhou, Lu; Kong, Xiaoxiao; Bao, Changjun; Xu, Ke; Zhu, Liguo; Yu, Huiyan","Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.; Department of Acute Infectious Disease Control and Prevention, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China.",Not available
40733749,Mucosal Vaccination Against SARS-CoV-2 Using Human Probiotic ,2025,"Grau, Roberto","Biotechnology Department, Kyojin S.A., Rosario 2000, Argentina.",Not available
40733732,"Clinical Course, Outcomes, and Risk Factors of Myocarditis and Pericarditis Following Administration of mRNA-1273 Vaccination: A Protocol for a Federated Real-World Evidence Vaccine Safety Study Using Data from Five European Data Sources.",2025,"St Laurent, Samantha; Esposito, Daina B; Zhu, Lei; Urdaneta, Veronica V; Emilebacker, Magalie","ModernaTX, Inc., Cambridge, MA 02142, USA.; ModernaTX, Inc., Cambridge, MA 02142, USA.; ModernaTX, Inc., Cambridge, MA 02142, USA.; ModernaTX, Inc., Cambridge, MA 02142, USA.; ModernaTX, Inc., Cambridge, MA 02142, USA.",Not available
40733602,"The XEC Variant: Genomic Evolution, Immune Evasion, and Public Health Implications.",2025,"Lundstrom, Kenneth","PanTherapeutics, Rte de Lavaux 49, CH1095 Lutry, Switzerland.",Not available
40733581,"3,3'-Diindolylmethane Improves the Viral Pneumonia Outcomes After Influenza and SARS-CoV-2 Infection in Animal Models.",2025,"Sudakov, Sergey; Drukh, Vadim","AO MiraxBioPharma, 121059 Moscow, Russia.; AO MiraxBioPharma, 121059 Moscow, Russia.",Not available
40730911,Challenges and opportunities in mRNA vaccine development against bacteria.,2025,"Thery, Fabien; Willems, Patrick; Impens, Francis","VIB-UGent Center for Medical Biotechnology, VIB, Ghent, Belgium.; VIB-UGent Center for Medical Biotechnology, VIB, Ghent, Belgium.; VIB-UGent Center for Medical Biotechnology, VIB, Ghent, Belgium. Francis.Impens@vib-ugent.be.",Francis.Impens@vib-ugent.be.
40728296,"COVID-19 Exposure, Protective Measures, Symptom Assessment, and Risk Perception Among Healthcare Workers in Peru: A Longitudinal Cohort Study (2020-2021).",2025,"Ponce, Diana; Romero, Candice","Vysnova Partners, Inc., Alexandria, Virginia, USA assigned to Clinical Trials Unit, NAMRU SOUTH.; Vysnova Partners, Inc., Alexandria, Virginia, USA assigned to Clinical Trials Unit, NAMRU SOUTH.",Not available
40727039,A plant secretory sequence enhances immunogenicity of electroporated COVID-19 DNA vaccines.,2025,"Demurtas, Olivia Costantina; Novelli, Flavia; Triggiani, Doriana; Merla, Caterina; Pasquali, Emanuela; Franconi, Rosella; Pioli, Claudio","Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.",Not available
40727012,"Safety and immunogenicity of UB-612 heterologous booster in adults primed with mRNA, adenovirus, or inactivated COVID-19 vaccines: a randomized, active-controlled, Phase 3 trial.",2025,"Rumyantsev, Alexander; Wang, Lixia; Wang, Shixia; Kemp, Tracy; Wriggins, Alana; Burks, Amy; Fisher, Danielle; Brokke, Katie; Fix, Amy; Hensley, Susan; Lewis, Maggie; Zhu, Ray; Wang, Kate; Shasha, Carolyn; Heppner, Gray; Palm, Ulo; Monath, Thomas P","Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; AvanSight, Inc., CA, USA.; AvanSight, Inc., CA, USA.; AvanSight, Inc., CA, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.",Not available
40717071,Production of SARS-CoV-2 virus-like particles as a vaccine candidate in stable cell lines through inducible E and M protein expression.,2025,"Zheng, Zhaoyue; Ye, JingYa","Sichuan Real & Best Biotech Co., Ltd, Chengdu, China.; Sichuan Real & Best Biotech Co., Ltd, Chengdu, China.",ahyeechy@gmail.com.
